hashtag,music_track,views,likes,comments,shares,engagement_rate,upload_time,cluster
#fyp,Neutral piano,94866,13747,1660,1538,0.188013,2025-03-29 21:00:00,2
#viral,Pop groove,20913,2981,323,297,0.187921,2025-08-03 21:00:00,2
#fyp,Gallery pad,119899,16221,2678,1312,0.187733,2025-08-24 14:00:00,2
#viral,Golden,77901,11244,1569,1067,0.187546,2025-08-20 15:00:00,2
#fyp,Stadium chant,59246,8992,599,897,0.187169,2025-07-26 10:00:00,2
#makeup,Sunset pad,64312,9809,996,622,0.187026,2025-01-17 16:00:00,2
#fashion,Gallery pad,57260,7697,1276,559,0.186675,2025-04-28 02:00:00,2
#dogtok,Ambient glow,56368,7610,1208,600,0.18656,2025-07-03 20:00:00,2
#ootd,@kaijinbuu on ig,982400,173900,399,8397,0.18596905537459282,2025-10-16 01:36:31,2
#umkm,Clean corporate bed,118552,17430,1645,1409,0.185716,2025-05-04 19:00:00,2
#fyp,Boss fight theme,138263,18413,3003,1877,0.185711,2025-07-18 20:00:00,2
#streamer,Cardio loop,121676,15965,2194,1857,0.185706,2025-07-20 19:00:00,2
#esports,City stroll,54182,7284,1110,776,0.185652,2025-07-02 17:00:00,2
#kuliner,Clean corporate bed,174226,25542,2301,2871,0.185564,2025-07-10 14:00:00,2
#fyp,Adrenaline synth,203390,29192,3417,3014,0.18436,2025-01-03 22:00:00,2
#foodie,Goofy bass,108665,16422,1200,1268,0.184208,2025-01-24 02:00:00,2
#umkm,Street vibe,130423,18074,2305,1910,0.184193,2025-08-08 21:00:00,2
#recipe,Neutral piano,49086,6965,481,767,0.184065,2025-06-16 22:00:00,2
#viral,Gallery pad,103216,14139,1496,1330,0.184051,2025-08-08 03:00:00,2
#kuliner,Calm piano,16469,2351,187,267,0.183739,2025-01-03 02:00:00,2
#fashion,Tor Monitor Ketua,207200,35600,161,2303,0.1837065637065637,2025-11-20 05:18:33,2
#gameclip,Cardio loop,22310,3044,281,212,0.183416,2025-05-03 22:00:00,2
#fashion,Kasih Tau Mama,650698,94890,11817,6660,0.183392,2025-01-16 14:00:00,2
#fyp,Trap beat,60290,7824,627,766,0.183297,2025-05-09 02:00:00,2
#fashion,Cardio loop,43773,6402,485,521,0.183241,2025-03-09 21:00:00,2
#umkm,Toolbox clack,65435,9453,1203,728,0.183128,2025-01-26 15:00:00,2
#fashion,About You,151275,19682,1916,2565,0.183051,2025-07-18 23:00:00,2
#wanderlust,Soft focus,58311,8228,1141,768,0.182984,2025-04-18 09:00:00,2
#makananviral,Soft focus,167570,24213,3148,1744,0.182825,2025-03-27 20:00:00,2
#ootd,Soft glam loop,44588,6393,899,450,0.182762,2025-01-27 18:00:00,2
#viral,About You,30901,4175,501,527,0.182648,2025-07-11 22:00:00,2
#workout,Goofy bass,67828,9007,1396,1144,0.182638,2025-01-31 22:00:00,2
#recipe,Clean corporate bed,20440,2880,361,300,0.182339,2025-01-19 16:00:00,2
#kuliner,Backpack beat,138339,18012,2963,2477,0.182219,2025-06-13 14:00:00,2
#fyp,Bark hop,284605,39138,4575,4918,0.182123,2025-01-10 18:00:00,2
#fashion,Sunset pad,66248,10141,658,662,0.182104,2025-04-30 19:00:00,2
#learnontiktok,Engine rev,255203,35618,2963,4328,0.182067,2025-03-21 18:00:00,2
#fyp,Clap beat,40501,5818,728,456,0.181971,2025-04-17 20:00:00,2
#kuliner,Aesthetic synth,29197,4170,448,361,0.181868,2025-07-27 21:00:00,2
#suitwomen,APT.,1300000,232500,150,3430,0.1816,2025-10-26 23:50:26,2
#outfit,Aesthetic synth,58475,8178,1229,590,0.181565,2025-03-07 19:00:00,2
#kuliner,Boss fight theme,55744,8323,620,641,0.18097,2025-07-18 22:00:00,2
#ootd,Lab beeps,73861,10348,1155,1188,0.180867,2025-08-15 17:00:00,2
#fyp,Ambient glow,314080,40401,5598,5263,0.180706,2025-03-27 09:00:00,2
#fyp,Drumline,123029,16596,2110,1955,0.180559,2025-02-05 18:00:00,2
#fyp,Bark hop,44469,6509,551,568,0.180553,2025-07-08 21:00:00,2
#pets,Gallery pad,41211,5262,618,422,0.180316,2025-06-06 20:00:00,2
#motivation,Lab beeps,363821,51896,5612,3504,0.180256,2025-05-04 17:00:00,2
#umkm,Drumline,51534,6667,699,589,0.180017,2025-04-21 15:00:00,2
#foodie,Sunset pad,205802,29086,3841,2265,0.179998,2025-04-26 21:00:00,2
#tech,Paint stroke ASMR,134693,19174,2237,1617,0.179965,2025-06-22 18:00:00,2
#kuliner,Chill guitar,9648,1295,165,160,0.179934,2025-01-27 22:00:00,2
#fyp,Cardio loop,104976,14963,1994,977,0.179822,2025-08-02 20:00:00,2
#fashion,About You,209047,27993,2686,3456,0.179663,2025-06-10 11:00:00,2
#katseye,fashion,24200000,4200000,12800,119800,0.17903305785123966,2025-10-26 15:57:39,2
#ootd,Pretty Little Baby,119700,20300,111,944,0.17840434419381787,2025-11-15 18:00:16,2
#fyp,Turbo whoosh,25857,3577,479,323,0.17825,2025-07-04 08:00:00,2
#coding,Dora Dora,14312,1925,251,248,0.178242,2025-06-15 20:00:00,2
#dogtok,Backpack beat,82256,10680,1134,1378,0.178212,2025-07-08 16:00:00,2
#fyp,About You,32630,4435,661,427,0.178149,2025-02-28 21:00:00,2
#wanderlust,Microscope hum,246550,33478,4658,2532,0.178142,2025-04-21 16:00:00,2
#makananviral,Pica Pica,80604,10107,1573,1077,0.178068,2025-05-26 23:00:00,2
#fyp,Cardio loop,6673,887,142,98,0.177881,2025-08-27 19:00:00,2
#fyp,Ticker tick,70521,9507,1388,1014,0.177748,2025-03-14 15:00:00,2
#makeup,Lab beeps,11828,1478,119,208,0.177714,2025-07-10 12:00:00,2
#umkm,Soft focus,103072,14259,2022,1113,0.177633,2025-04-11 08:00:00,2
#fyp,Sunset pad,52075,7559,487,597,0.177436,2025-03-03 09:00:00,2
#outfit,Ticker tick,214735,26896,2846,2430,0.177409,2025-08-01 00:00:00,2
#workout,Cosmic pad,12350,1810,138,133,0.177328,2025-08-02 14:00:00,2
#fyp,Engine rev,196639,24720,2392,2228,0.177315,2025-04-11 07:00:00,2
#umkm,8bit loop,52512,7093,837,599,0.177179,2025-01-23 02:00:00,2
#esports,Neutral piano,32887,4481,514,533,0.176939,2025-01-24 21:00:00,2
#makananviral,Aesthetic synth,430799,60412,5219,6323,0.176897,2025-08-15 21:00:00,2
#outfit,Kasih Tau Mama,125422,17093,2423,1561,0.176891,2025-07-06 18:00:00,2
#fyp,About You,18737,2494,326,308,0.176656,2025-01-17 14:00:00,2
#fyp,Subtle groove,19668,2547,393,339,0.17648,2025-04-11 14:00:00,2
#viral,Boss fight theme,37030,5100,454,369,0.176452,2025-03-10 19:00:00,2
#beauty,Bark hop,30636,3950,293,421,0.176394,2025-02-21 18:00:00,2
#kuliner,Engine rev,356081,49038,4475,5609,0.176227,2025-05-23 15:00:00,2
#fashion,Bark hop,98373,13095,2039,1318,0.176044,2025-03-23 17:00:00,2
#skincare,8bit loop,26636,3693,317,445,0.17604,2025-08-08 15:00:00,2
#makeup,Bark hop,41879,5320,667,464,0.175983,2025-01-04 17:00:00,2
#kuliner,Alamak,128668,17708,2069,1733,0.175972,2025-03-15 14:00:00,2
#kuliner,Engine rev,90360,12191,1716,884,0.17593,2025-05-19 23:00:00,2
#umkm,Kitchen groove,18167,2335,180,293,0.175868,2025-03-31 06:00:00,2
#kuliner,LoFi makeup beat,108214,14105,2039,1630,0.175791,2025-07-11 15:00:00,2
#fashion,LoFi makeup beat,404383,56055,5793,5678,0.175774,2025-06-13 15:00:00,2
#umkm,Dora Dora,41279,5111,636,500,0.175755,2025-07-26 16:00:00,2
#fyp,Soft focus,128357,17358,1321,1814,0.175729,2025-03-06 19:00:00,2
#streetfood,Drumline,16564,2142,249,194,0.175682,2025-01-31 08:00:00,2
#makeup,Sizzle ASMR,104003,14483,1307,1560,0.175601,2025-01-04 18:00:00,2
#fyp,Tape measure click,168730,21379,3186,2686,0.175553,2025-08-31 14:00:00,2
#kuliner,Backpack beat,28388,3794,480,457,0.175426,2025-01-17 19:00:00,2
#fyp,Chalkboard beat,17270,2308,344,225,0.175333,2025-06-08 23:00:00,2
#fyp,Cosmic pad,16423,2193,308,234,0.175303,2025-01-17 20:00:00,2
#fyp,Bark hop,24673,3317,447,273,0.175252,2025-03-23 20:00:00,2
#fyp,Whistle loop,88399,12921,796,997,0.175206,2025-07-06 20:00:00,2
#kuliner,Sizzle ASMR,86772,11981,1528,932,0.175183,2025-05-04 16:00:00,2
#makananviral,Blue,139307,17291,2672,1940,0.175174,2025-05-02 15:00:00,2
#fashion,Gallery pad,90667,12283,1299,1473,0.174782,2025-08-22 08:00:00,2
#makeup,Microscope hum,172852,24642,1701,2354,0.174756,2025-05-10 22:00:00,2
#fashion,Stadium chant,19083,2620,181,225,0.174448,2025-08-28 14:00:00,2
#fyp,Circuit synth,81562,11244,945,1325,0.174407,2025-07-11 17:00:00,2
#fyp,Kasih Tau Mama,19819,2592,226,224,0.174328,2025-06-02 05:00:00,2
#viral,Quirky jingle,48364,6595,768,647,0.174324,2025-05-28 18:00:00,2
#ootd,Quirky jingle,108992,14409,1436,1658,0.173783,2025-06-11 15:00:00,2
#perempuan,𝗔𝙯𝙯𝙮𝙚💤,138400,22800,84,1155,0.1736921965317919,2025-10-16 15:55:40,2
#fyp,Alamak,9993,1225,183,111,0.173521,2025-05-16 20:00:00,2
#fashion,Clap beat,51120,6739,798,805,0.173474,2025-03-17 12:00:00,2
#dogtok,Ambient glow,60881,7669,1061,818,0.17342,2025-02-12 21:00:00,2
#gameclip,Cardio loop,316856,42341,3443,5431,0.17341,2025-07-12 16:00:00,2
#fashion,Pop groove,57338,7073,880,830,0.173393,2025-01-24 17:00:00,2
#esports,Highway synth,25620,3428,493,271,0.17338,2025-05-28 13:00:00,2
#fashion,Goofy bass,25922,3445,480,341,0.173212,2025-06-25 21:00:00,2
#fyp,Chill guitar,96570,13265,1238,1377,0.173087,2025-04-11 14:00:00,2
#viral,Glitch hop,62369,7969,1035,686,0.173003,2025-04-04 18:00:00,2
#makananviral,Calm piano,131662,16855,1947,1747,0.172609,2025-07-09 23:00:00,2
#kuliner,Sunset pad,403035,54011,5665,4543,0.172556,2025-05-10 18:00:00,2
#makananviral,Glitch hop,131434,16794,1397,1744,0.172383,2025-01-27 12:00:00,2
#viral,Turbo whoosh,76405,9781,1053,1267,0.172266,2025-01-31 12:00:00,2
#recipe,Gallery pad,133615,17815,1265,1739,0.172211,2025-01-25 23:00:00,2
#learnontiktok,Bark hop,26241,3436,453,403,0.172135,2025-02-28 18:00:00,2
#fyp,Lab beeps,90835,11651,942,881,0.172048,2025-04-23 15:00:00,2
#fashion,Kitchen groove,8324,1137,94,130,0.172033,2025-05-10 17:00:00,2
#gaming,Backpack beat,15620,2039,223,164,0.172023,2025-03-21 16:00:00,2
#wanderlust,Stadium chant,11830,1511,231,192,0.17202,2025-06-19 07:00:00,2
#viral,Drumline,51488,6728,577,685,0.171982,2025-05-05 19:00:00,2
#gameclip,Kasih Tau Mama,115283,15478,2173,1183,0.171968,2025-01-24 21:00:00,2
#foodie,Calm piano,58378,7884,673,979,0.171948,2025-04-28 21:00:00,2
#fyp,Hype trap,30491,4122,471,387,0.17192,2025-02-14 19:00:00,2
#fyp,timo,2200000,353200,1393,23500,0.17186045454545454,2025-07-12 04:02:03,2
#outfitinspo,Stecu Stecu,11400000,1900000,3452,53700,0.17168,2025-01-31 17:38:54,2
#motivation,Kitchen groove,63190,8133,996,756,0.171594,2025-03-21 18:00:00,2
#outfit,Circuit synth,49463,6703,629,731,0.171583,2025-05-29 17:00:00,2
#kuliner,Bark hop,15887,2187,164,238,0.171524,2025-02-19 11:00:00,2
#foodie,Calon Mantu Terbaik Mamamu,90813,11892,1748,1131,0.171473,2025-06-29 09:00:00,2
#outfit,Ambient glow,54589,7497,532,863,0.171463,2025-04-22 19:00:00,2
#umkm,Ticker bed,51137,6392,638,673,0.171441,2025-01-03 15:00:00,2
#umkm,Pica Pica,113141,15394,1395,1626,0.171326,2025-06-18 13:00:00,2
#fyp,Ticker tick,84510,11892,868,986,0.171211,2025-07-22 04:00:00,2
#makeup,Toolbox clack,140353,18913,1328,2373,0.171204,2025-06-12 18:00:00,2
#motivation,Soft glam loop,83130,10077,1116,1105,0.170889,2025-08-09 18:00:00,2
#dogtok,Paint stroke ASMR,196374,26079,3178,2415,0.170873,2025-03-04 16:00:00,2
#beauty,Dora Dora,15213,2037,218,214,0.170841,2025-04-10 21:00:00,2
#fyp,Ticker bed,36499,4387,344,487,0.170717,2025-05-02 15:00:00,2
#dogtok,Tape measure click,155069,21771,1847,1519,0.170634,2025-01-10 15:00:00,2
#motivation,Kasih Tau Mama,28060,3709,451,385,0.170492,2025-03-07 17:00:00,2
#fyp,Whistle loop,97981,12757,1609,1499,0.170441,2025-05-03 07:00:00,2
#umkm,Neutral piano,390147,48365,3663,3771,0.170395,2025-04-20 11:00:00,2
#viral,Sizzle ASMR,27100,3591,308,358,0.170295,2025-03-05 11:00:00,2
#fyp,Aesthetic synth,336735,43122,4950,3969,0.170267,2025-02-18 19:00:00,2
#tech,Clap beat,144612,18133,2018,1735,0.170214,2025-02-07 16:00:00,2
#fyp,Quirky jingle,56810,7451,872,856,0.170076,2025-06-20 12:00:00,2
#fashion,Hype trap,154700,19961,2680,2335,0.169942,2025-07-18 14:00:00,2
#makeup,Circuit synth,50580,6678,619,833,0.169889,2025-04-22 08:00:00,2
#kuliner,Runway loop,13978,1760,245,223,0.169767,2025-01-17 10:00:00,2
#kuliner,Boss fight theme,76478,10472,921,939,0.169735,2025-08-04 11:00:00,2
#kuliner,Circuit synth,31607,3782,536,458,0.169646,2025-07-25 20:00:00,2
#fyp,Ambient glow,43088,5375,486,550,0.16956,2025-08-29 17:00:00,2
#foodie,Paint stroke ASMR,71724,9096,938,724,0.169497,2025-07-01 15:00:00,2
#learnontiktok,Kasih Tau Mama,20494,2584,327,289,0.169464,2025-08-11 17:00:00,2
#gameclip,Pop groove,1520061,207929,14688,19536,0.169451,2025-06-21 23:00:00,2
#makananviral,8bit loop,92495,11039,1518,1266,0.169393,2025-08-22 13:00:00,2
#esports,Glitch hop,31810,4332,380,407,0.169381,2025-02-09 23:00:00,2
#viral,Microscope hum,21727,2693,230,242,0.169375,2025-01-05 17:00:00,2
#fashion,Backpack beat,25412,3242,417,274,0.169329,2025-04-26 18:00:00,2
#streetfood,Drumline,33254,4496,533,320,0.169303,2025-06-09 15:00:00,2
#viral,Turbo whoosh,24684,3288,403,279,0.1693,2025-02-12 17:00:00,2
#recipe,Boss fight theme,24405,2991,423,389,0.169269,2025-05-03 10:00:00,2
#cattok,Golden,3457,448,34,30,0.169222,2025-03-09 08:00:00,2
#fyp,Soft glam loop,32682,4252,518,480,0.169084,2025-04-07 17:00:00,2
#fashion,$teez (steez),6501,1049,13,37,0.16905091524380864,2025-11-15 04:47:57,2
#fyp,Ambient pulse,85470,10546,1225,1345,0.16903,2025-04-11 23:00:00,2
#kuliner,Trap beat,110597,14595,1651,1513,0.169019,2025-05-23 18:00:00,2
#umkm,Calon Mantu Terbaik Mamamu,318366,42496,4269,4314,0.168884,2025-07-16 19:00:00,2
#motivation,Hype trap,15631,2035,296,175,0.168703,2025-04-01 20:00:00,2
#makananviral,Microscope hum,26523,3568,376,307,0.168684,2025-05-23 10:00:00,2
#mofagongzhudexiaofannao,ʀɪʏsɴ✰,109000,17500,101,783,0.16866055045871559,2025-11-17 00:32:49,2
#fyp,Pop groove,390261,49647,4187,3577,0.16851,2025-03-16 11:00:00,2
#fyp,Paint stroke ASMR,201495,26059,3377,2665,0.168322,2025-02-16 16:00:00,2
#foodie,Toolbox clack,202938,26577,1729,2333,0.168179,2025-03-02 18:00:00,2
#wanderlust,Kasih Tau Mama,14850,1888,238,246,0.168081,2025-03-04 11:00:00,2
#viral,Backpack beat,57483,7264,1034,878,0.168032,2025-08-31 07:00:00,2
#streamer,About You,102268,13445,1908,968,0.16799,2025-02-17 13:00:00,2
#viral,Adrenaline synth,16560,2193,277,170,0.167814,2025-07-20 23:00:00,2
#ootd,Bark hop,66795,8224,618,678,0.167722,2025-08-18 15:00:00,2
#streamer,Lab beeps,12566,1679,203,120,0.167675,2025-03-11 15:00:00,2
#viral,Cosmic pad,6968,835,119,112,0.167623,2025-07-16 20:00:00,2
#fyp,Circuit synth,86741,11353,1428,1028,0.167568,2025-07-25 14:00:00,2
#fashion,Paint stroke ASMR,367425,43684,7127,3641,0.167498,2025-02-04 03:00:00,2
#fashion,Ticker bed,77373,10519,889,894,0.167358,2025-04-11 22:00:00,2
#recipe,Sizzle ASMR,94394,12351,1479,884,0.16732,2025-04-08 09:00:00,2
#fyp,Soft focus,23898,2918,349,332,0.167252,2025-03-07 20:00:00,2
#skincare,Calm piano,149225,18711,2555,1630,0.167177,2025-03-01 14:00:00,2
#cattok,Waves & bells,7382,952,121,65,0.167163,2025-05-03 20:00:00,2
#fyp,Engine rev,186265,24145,1682,1901,0.167036,2025-02-28 18:00:00,2
#crafts,Street vibe,62924,7876,918,927,0.167011,2025-05-25 15:00:00,2
#viral,Chalkboard beat,133646,17641,2172,1388,0.166978,2025-08-10 23:00:00,2
#fyp,Kasih Tau Mama,16559,2026,159,236,0.166858,2025-02-26 21:00:00,2
#fyp,Neutral piano,10957,1381,129,117,0.166834,2025-07-11 19:00:00,2
#kuliner,Microscope hum,25635,3457,384,222,0.166803,2025-03-16 23:00:00,2
#dogtok,Sizzle ASMR,12362,1585,192,182,0.166801,2025-03-28 18:00:00,2
#fyp,Ambient glow,53406,6831,607,669,0.166779,2025-02-16 14:00:00,2
#viral,Dora Dora,1412022,187761,21862,14027,0.166726,2025-06-26 20:00:00,2
#fyp,olive,24500,3950,17,115,0.16661224489795917,2025-11-22 19:45:47,2
#fashion,paint da city red,489800,76000,194,5402,0.16659044507962434,2025-10-18 06:14:42,2
#fashion,Cardio loop,11415,1340,173,158,0.166535,2025-04-12 01:00:00,2
#motivation,Adrenaline synth,205183,26231,3554,2671,0.166505,2025-03-27 13:00:00,2
#viral,Street vibe,55905,6853,508,768,0.166461,2025-03-25 07:00:00,2
#fashion,Ambient pulse,34123,4411,517,467,0.166427,2025-04-05 20:00:00,2
#fyp,Runway loop,599346,71208,6872,6857,0.166275,2025-05-31 17:00:00,2
#fyp,Kitchen groove,49148,6601,755,406,0.166233,2025-08-08 14:00:00,2
#makeup,Gallery pad,1012788,129046,14576,14747,0.166153,2025-08-28 23:00:00,2
#pets,Stadium chant,38758,5114,410,424,0.166133,2025-04-26 19:00:00,2
#fashion,Pretty Little Baby,1400000,222200,495,9865,0.16611428571428571,2025-03-24 22:43:14,2
#tech,Tape measure click,70045,9255,827,971,0.166093,2025-05-16 03:00:00,2
#fashion,Ambient pulse,73037,9480,1329,701,0.165875,2025-05-09 14:00:00,2
#fyp,Circuit synth,108481,12795,1667,939,0.16578,2025-05-03 20:00:00,2
#makananviral,Street vibe,188244,23371,1706,2888,0.16578,2025-02-03 20:00:00,2
#viral,Boss fight theme,48253,6362,527,706,0.165668,2025-01-13 21:00:00,2
#fyp,Kitchen groove,37458,4806,498,431,0.165652,2025-05-30 20:00:00,2
#fyp,Bark hop,43306,5203,813,368,0.165566,2025-07-25 22:00:00,2
#streamer,Gallery pad,40462,5115,662,387,0.165538,2025-08-18 22:00:00,2
#fashion,Chalkboard beat,31633,4185,359,385,0.165523,2025-08-09 12:00:00,2
#foodie,Stadium chant,187858,23244,1710,2684,0.165476,2025-02-08 16:00:00,2
#fyp,Subtle groove,9334,1090,97,104,0.165417,2025-07-25 19:00:00,2
#recipe,Cosmic pad,53274,7160,543,668,0.16539,2025-08-24 20:00:00,2
#dogtok,Drumline,92706,11996,1192,1376,0.165361,2025-02-16 23:00:00,2
#recipe,Clap beat,396937,50796,5227,4476,0.165321,2025-07-11 16:00:00,2
#fyp,8bit loop,62037,7204,594,690,0.165321,2025-07-12 22:00:00,2
#fyp,Runway loop,90951,11497,1571,1215,0.165298,2025-05-16 06:00:00,2
#streetwear,save the world,2700000,438200,391,7337,0.1651585185185185,2024-10-16 23:10:18,2
#esports,Pica Pica,14272,1794,209,187,0.165149,2025-08-22 10:00:00,2
#motivation,Chalkboard beat,44304,5287,484,507,0.165109,2025-03-29 09:00:00,2
#motivation,Chalkboard beat,46229,5777,550,696,0.164896,2025-02-09 18:00:00,2
#recipe,Drumline,28027,3484,330,410,0.164877,2025-08-16 18:00:00,2
#workout,Runway loop,93626,12332,1090,1232,0.164751,2025-04-10 20:00:00,2
#pets,Runway loop,86641,11438,1048,789,0.164737,2025-06-10 22:00:00,2
#fyp,Cardio loop,32098,4270,382,371,0.164714,2025-05-02 16:00:00,2
#learnontiktok,Waves & bells,78719,10181,1271,865,0.1647,2025-08-31 22:00:00,2
#fyp,Highway synth,8742,1136,141,90,0.164608,2025-06-06 03:00:00,2
#viral,Circuit synth,42525,5517,545,584,0.164491,2025-03-17 23:00:00,2
#fyp,Clean corporate bed,45397,5707,742,645,0.164482,2025-02-27 19:00:00,2
